"store","state","place_id","name","address","latitude","longitude"
"Ben and Jerry's","AL","ChIJkardCvVXi4gRFHu9ZF7L6AU","Ben & Jerry's","150 Tom Hall Parkway, LaGrange, GA 30240, USA","32.9927812","-85.0266583"
"Ben and Jerry's","AL","ChIJGXOkbrZsYogR4I5fR5x5HH8","Ben & Jerry's","2801 Memorial Pkwy SW #80, Huntsville, AL 35801, USA","34.7083863","-86.5880531"
"Ben and Jerry's","AZ","ChIJNRRNoN3RyIAR8-HZluDBkxU","Ben & Jerry's","2225 Village Walk Dr, Henderson, NV 89052, USA","36.0212443","-115.0858248"
"Ben and Jerry's","AZ","ChIJTRJlLPHQyIAR5THux6fPoDQ","Ben & Jerry's","1301 W Sunset Rd, Henderson, NV 89014, USA","36.06081","-115.040795"
"Ben and Jerry's","AZ","ChIJ7ZRhFTrEyIARn1A0skICWiQ","Ben & Jerry's","3627 S Las Vegas Blvd Suite 900, Las Vegas, NV 89109, USA","36.1142481","-115.1724913"
"Ben and Jerry's","AZ","ChIJuaZNPhbEyIAR__jh3U-BJW8","Ben & Jerry's","3663 S Las Vegas Blvd Suite #520, Las Vegas, NV 89109, USA","36.10873950000001","-115.1698147"
"Ben and Jerry's","AZ","ChIJj_6e8Th5K4cRWqpGCbempb4","Ben & Jerry's","34505 N Scottsdale Rd, Scottsdale, AZ 85266, USA","33.7981038","-111.9269771"
"Ben and Jerry's","CA","ChIJucLtwJ1-hYAR-qBdBl0deFo","Ben & Jerry's","2130 Center St Suite 102, Berkeley, CA 94704, USA","37.8703121","-122.2670657"
"Ben and Jerry's","CA","ChIJFZZwZR_c3IARNwGk1Bug0WM","Ben & Jerry's","2459 Park Ave, Tustin, CA 92782, USA","33.6968392","-117.8285673"
"Ben and Jerry's","CA","ChIJjZU1UETGwoARoYR4Acs4kWA","Ben & Jerry's","800 N Alameda St, Los Angeles, CA 90012, USA","34.05579609999999","-118.2358339"
"Ben and Jerry's","CA","ChIJARFaMY-AhYARd8OnSIZOwUQ","Ben & Jerry's","170 O'Farrell St, San Francisco, CA 94102, USA","37.78720570000001","-122.4073912"
"Ben and Jerry's","CA","ChIJX7X1sHSbwoARlJVoK22v7H4","Ben & Jerry's","9301 Tampa Ave #121, Northridge, CA 91324, USA","34.2393558","-118.5557573"
"Ben and Jerry's","CA","ChIJgxtI__L92oARZzKb35MhyqU","Ben & Jerry's","71800 CA-111 Unit A-124, Rancho Mirage, CA 92270, USA","33.7399196","-116.4091386"
"Ben and Jerry's","CA","ChIJP_m8OPCs6YARp2Qbk7-555E","Ben & Jerry's","523 E Main St, Ventura, CA 93001, USA","34.2809749","-119.2924915"
"Ben and Jerry's","CA","ChIJTdTix5SXwoARMcRpABpAG3E","Ben & Jerry's","15301 Ventura Blvd Space P-6, Sherman Oaks, CA 91403, USA","34.154921","-118.466828"
"Ben and Jerry's","CA","ChIJ6Y5xrqUb24ARsAM8N7KIxGI","Ben & Jerry's","110 S Palm Canyon Dr, Palm Springs, CA 92264, USA","33.822718","-116.546639"
"Ben and Jerry's","CA","ChIJmw1DtxOHwoARQ1JhbgUVHxw","Ben & Jerry's","23630-D Valencia Boulevard, Creekside Rd, Valencia, CA 91355, United States","34.4162921","-118.5484373"
"Ben and Jerry's","CA","ChIJh6rwXTOWwoARecGumSCUS-o","Ben & Jerry's","14006 Riverside Dr, Sherman Oaks, CA 91423, USA","34.1570254","-118.4382387"
"Ben and Jerry's","CA","ChIJ0Ya7mFVT2YAR868mpmf_D9Q","Ben & Jerry's","859 A W Harbor Dr, San Diego, CA 92101, USA","32.7090942","-117.1715235"
