State_Name,Murders,state,Population,Murder_Rate
Alaska,62,ak,739795,8.380700059
Alabama,404,al,4874747,8.287609593
Arkansas,258,ar,3004279,8.587751004
Arizona,416,az,7016270,5.929076276
California,1830,ca,39536653,4.628616388
Colorado,221,co,5607154,3.941393441
Connecticut,102,ct,3588184,2.842663587
District of Columbia,116,dc,693972,16.7153718
Delaware,54,de,961939,5.613661573
Florida,1057,fl,20984400,5.037075161
Georgia,703,ga,10429379,6.740573911
Hawaii,39,hi,1427538,2.731976312
Iowa,104,ia,3145711,3.30608883
Idaho,32,id,1716943,1.863777656
Illinois,997,il,12802023,7.787831658
Indiana,397,in,6666818,5.954864825
Kansas,160,ks,2913123,5.492387379
Kentucky,263,ky,4454189,5.904554117
Louisiana,582,la,4684333,12.42439425
Massachusetts,173,ma,6859819,2.52193243
Maryland,546,md,6052177,9.021547123
Maine,23,me,1335907,1.721676733
Michigan,569,mi,9962311,5.711526171
Minnesota,113,mn,5576606,2.026322103
Missouri,600,mo,6113532,9.81429393
Mississippi,245,ms,2984100,8.210180624
Montana,41,mt,1050493,3.902929386
North Carolina,591,nc,10273419,5.752709979
North Dakota,10,nd,755393,1.323814227
Nebraska,43,ne,1920076,2.239494687
New Hampshire,14,nh,1342795,1.04260144
New Jersey,324,nj,9005644,3.597743815
New Mexico,148,nm,2088070,7.087884985
Nevada,274,nv,2998039,9.139307394
New York,548,ny,19849399,2.760788878
Ohio,710,oh,11658609,6.089920333
Oklahoma,242,ok,3930864,6.156407345
Oregon,104,or,4142776,2.510393997
Pennsylvania,739,pa,12805537,5.770941117
Rhode Island,20,ri,1059639,1.887435249
South Carolina,390,sc,5024369,7.762168742
South Dakota,25,sd,869666,2.874666826
Tennessee,527,tn,6715984,7.846951392
Texas,1412,tx,28304596,4.988589132
Utah,73,ut,3101833,2.353447139
Virginia,453,va,8470020,5.348275447
Vermont,14,vt,623657,2.244823677
Washington,230,wa,7405743,3.105697835
Wisconsin,186,wi,5795483,3.209396007
West Virginia,85,wv,1815857,4.680985342
Wyoming,15,wy,579315,2.589264908
