State_Name,Murders,state,Population,Murder_Rate
Alabama,404,al,"4,874,747",8.287609593
Alaska,62,ak,"739,795",8.380700059
Arizona,416,az,"7,016,270",5.929076276
Arkansas,258,ar,"3,004,279",8.587751004
California,1830,ca,"39,536,653",4.628616388
Colorado,221,co,"5,607,154",3.941393441
Connecticut,102,ct,"3,588,184",2.842663587
Delaware,54,de,"961,939",5.613661573
District of Columbia,116,dc,"693,972",16.7153718
Florida,1057,fl,"20,984,400",5.037075161
Georgia,703,ga,"10,429,379",6.740573911
Hawaii,39,hi,"1,427,538",2.731976312
Idaho,32,id,"1,716,943",1.863777656
Illinois,997,il,"12,802,023",7.787831658
Indiana,397,in,"6,666,818",5.954864825
Iowa,104,ia,"3,145,711",3.30608883
Kansas,160,ks,"2,913,123",5.492387379
Kentucky,263,ky,"4,454,189",5.904554117
Louisiana,582,la,"4,684,333",12.42439425
Maine,23,me,"1,335,907",1.721676733
Maryland,546,md,"6,052,177",9.021547123
Massachusetts,173,ma,"6,859,819",2.52193243
Michigan,569,mi,"9,962,311",5.711526171
Minnesota,113,mn,"5,576,606",2.026322103
Mississippi,245,ms,"2,984,100",8.210180624
Missouri,600,mo,"6,113,532",9.81429393
Montana,41,mt,"1,050,493",3.902929386
Nebraska,43,ne,"1,920,076",2.239494687
Nevada,274,nv,"2,998,039",9.139307394
New Hampshire,14,nh,"1,342,795",1.04260144
New Jersey,324,nj,"9,005,644",3.597743815
New Mexico,148,nm,"2,088,070",7.087884985
New York,548,ny,"19,849,399",2.760788878
North Carolina,591,nc,"10,273,419",5.752709979
North Dakota,10,nd,"755,393",1.323814227
Ohio,710,oh,"11,658,609",6.089920333
Oklahoma,242,ok,"3,930,864",6.156407345
Oregon,104,or,"4,142,776",2.510393997
Pennsylvania,739,pa,"12,805,537",5.770941117
Rhode Island,20,ri,"1,059,639",1.887435249
South Carolina,390,sc,"5,024,369",7.762168742
South Dakota,25,sd,"869,666",2.874666826
Tennessee,527,tn,"6,715,984",7.846951392
Texas,1412,tx,"28,304,596",4.988589132
Utah,73,ut,"3,101,833",2.353447139
Vermont,14,vt,"623,657",2.244823677
Virginia,453,va,"8,470,020",5.348275447
Washington,230,wa,"7,405,743",3.105697835
West Virginia,85,wv,"1,815,857",4.680985342
Wisconsin,186,wi,"5,795,483",3.209396007
Wyoming,15,wy,"579,315",2.589264908
